package,resource,original,replacement,context,status
com.android.launcher.black.blue,str_longpress_to_move,Long press to drag and sort,"Touch and hold, then drag to reorder",Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_no_song_play,No song playback,Nothing is playing,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_play_list,PlayList,Playlist,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_recent_apps,RecentApps,Recent apps,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_theme_dark_style,Dark Style,Dark style,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_theme_day,Day Theme,Day theme,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_theme_default,Light Style,Light style,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_theme_night,Night Theme,Night theme,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_theme_setting,Set the style as,Select a style,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_theme_translue,Transparent Style,Transparent style,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_weather_info_refresh,Get Weather in...,Updating weather…,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,yin,阴,Overcast,Black/Blue launcher,built; device verification pending
com.qf.backcar,backTips,Please be aware of your surroundings,Check your surroundings,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,camera_no_signal,NO SIGNAL!,No signal,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,choose_format,Please choose the suitable input format,Select the correct video input format,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,choose_next,Next format,Try next format,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,choose_select_over,The input format has been selected and will take effect next time it is used,The selected input format will be used next time.,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,choose_start_tips,Clicking 'yes' to start the input signal format detection.,Select Yes to detect the input signal format.,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,choose_start_tips2,Clicking 'yes' will start inputting signal format detection after exiting reverse.,Select Yes to detect the input signal format after reverse gear is disengaged.,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,choose_start_title,Choose format standards,Detect video input format,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,front_app_name,Front Camera,Front camera,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,rgbSettings,RGB Settings,Picture settings,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,safebelt,Safebelt,Seat belt,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,str_hue,Chroma,Hue,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,str_prompt,Tip,Notice,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,str_video,Reversing Video Settings,Reverse camera settings,Reverse and auxiliary camera UI,built; device verification pending
com.qf.backcar,traceSettings,Trace Settings,Parking guideline settings,Reverse and auxiliary camera UI,built; device verification pending
com.qf.bluetooth,bt_connected,connected,Connected,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_connecting,connecting...,Connecting…,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_disconnected,disconnected,Disconnected,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_disconnecting,disconnecting...,Disconnecting…,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_not_connected,matching with this device,Pairing with this device,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_paired,"paired, not connected","Paired, not connected",Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_pairing,pairing...,Pairing…,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_status_connect_fail,connection failed,Connection failed,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_status_connected,connected,Connected,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_status_connecting,connecting,Connecting,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_status_nomedia,media audio not connected,Media audio is not connected,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_status_nopbap,phone book not connected,Contacts are not connected,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_status_nophone,phone audio not connected,Phone audio is not connected,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_status_paired,paired,Paired,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,bt_status_unpair,unpaired,Not paired,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_auto_answer,Auto answer,Automatic answer,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_auto_connect,Auto connect,Automatic connection,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_bluetooth_music,Bluetooth Music,Bluetooth music,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_bt_call_log,Call logs,Call history,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_bt_callhistorylistisempty,History is empty!,Call history is empty,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_bt_contacts_collect,Favorite,Favourite,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_bt_devices,Bluetooth connectivity,Bluetooth connection,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_bt_not_ativated,"Bluetooth is not activated.

please connect to the internet to activate bluetooth.",Bluetooth is not active.\nConnect to the internet to activate it.,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_bt_pairedlistisempty,The pairing list is empty!,No paired devices,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_bt_pan_tip,Using the phone's Bluetooth shared network,Use the phone\'s Bluetooth network sharing,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_bt_phone,Bluetooth call,Bluetooth calls,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_bt_reset,BT Reset,Reset Bluetooth,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_call,call...,Call,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_clear_called,Clear called,Clear call history,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_close,close,Close,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_confirm,confirm,Confirm,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_dialing,dialing,Dialling…,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_download,downloading phonebook,Downloading contacts…,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_empty,Phonebook list is empty!,Contact list is empty,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_income,income,Incoming calls,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_link,connect/disconnect,Connect / disconnect,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_music_value_gain,music value gain,Bluetooth music gain,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_open,open,Open,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_pin_code,Pin code,PIN code,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_pls_reconnect_bt,Please reconnect Bluetooth to make it work,Reconnect Bluetooth to apply this setting,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_reset,reset,Reset,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_switch,switch,Switch,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_sync,Download,Download contacts,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_sys_bt,System Bluetooth(OBD Feature),System Bluetooth (OBD),Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_unknown_contact,unknown contact,Unknown contact,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_ununited,ununited,Not connected,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,str_value_gain,value gain,Gain,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,tips_bt_disabled_when_carplay,Do not operate bluetooth when carplay connected,Bluetooth controls are unavailable while CarPlay is connected,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,tips_bt_resetting,Bluetooth is resetting...,Resetting Bluetooth…,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,tips_wifi_open,Disconnect BT Connection before Opening WIFI,Disconnect Bluetooth before turning on Wi-Fi,Bluetooth phone and audio UI,built; device verification pending
com.qf.bluetooth,wait_bt_on,Waiting BT On...,Waiting for Bluetooth…,Bluetooth phone and audio UI,built; device verification pending
com.qf.carsettings,str_360_camera_calibration_type,360 reverse calibration mode,360° camera calibration mode,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_360_camera_func,360 reverse function,360° camera,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_360_camera_mode,360 reverse mode,360° camera mode,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_amp_control,Power amplifier control switch,Amplifier control,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_android_upgrade,System Upgrade,System update,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_app_list,Application list,App list,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_app_name,Car Settings,Car settings,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_app_select,Application selection,Select app,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_app_select_hint,	Restart is required after setting to work,Restart the system to apply this setting,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_audio_source,Audio source boot start,Audio source at startup,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_auto_upgrade_prompt1,The system will automatically upgrade:,The system will install this update:,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_auto_upgrade_prompt2,"
Do not perform other operations! After the upgrade is complete, the system will restart!",Do not perform any other operations. The system will restart when the update is complete.,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_aux_volume,Aux volume,AUX volume,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_back_track,Reverse track,Reversing trajectory,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backcar_foresight_time,Front camera display duration,Front camera display time,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backcar_foresight_time_10s,10s,10 s,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backcar_foresight_time_15s,15s,15 s,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backcar_foresight_time_5s,5s,5 s,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backcar_func,Reverse function,Reverse camera,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backcar_mirror,Reverse video mirror,Mirror reverse camera image,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backcar_mode,Reverse mode,Reverse camera mode,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backcar_mute,Reverse mute,Mute while reversing,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backcar_rgb,Reverse rgb,Reverse camera picture,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backcar_ruler,Reverse ruler,Parking guidelines,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backcar_set,Reverse,Reverse camera,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backlight_max,Max Value(33-100),Maximum value (33–100),Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backlight_min,Min value(0-50),Minimum value (0–50),Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backlight_rang,Configuration range value,Configuration range,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_backlight_set,Backlight set,Backlight settings,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_battery_power,Battery power of the original vehicle,Original vehicle battery level,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_boot_default_volume,Default volume,Default startup volume,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_bootanimation_auto_upgrade_prompt,boot animation,Boot animation,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_brake,Driving Ban Video,Block video while driving,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_btn_config,Config,Configure,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_canmcu,CanMcu:,CAN MCU:,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_car_model,Car model,Vehicle model,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_clear_all_data,Wipe all data?,Erase all data?,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_clear_user_data,"When the system is upgraded, clear user data",Erase user data during the system update,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_close_use_sleep_mode,Close use sleep mode,Disable sleep mode,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_color_picker_set,Colorful Light Picker,Button illumination colour,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_color_picker_switch,Colorful Light Switch,Button illumination,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_dark_mode_auto_switch,Automatic switching of dark mode,Automatic dark mode,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_dark_mode_follow_headlights,Dark mode follows changes in headlights,Use headlights to control dark mode,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_day_brightness_time,Daytime point,Day mode start time,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_day_brightness_value,Default backlight for daytime,Default daytime brightness,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_device_interface_title,Interface Definition,Interface assignment,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_device_power_title,Power Definition,Power assignment,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_disable_checksum,Cancel the checksum detection of system upgrade files!,Skip system update file verification,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_display_dark_mode,Dark Mode,Dark mode,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_display_set,Display set,Display settings,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_downloading_mcu_file,Downloading mcu file!,Downloading MCU file…,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_dpi,Dpi:,DPI:,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_dvr_app_list,DVR application list,DVR app list,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_dvr_use_usb1,USB 6Pin,USB 6-pin,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_dvr_use_usb2,USB 4Pin,USB 4-pin,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_enable_checksum,Check the upgrade file for corruption,Verify the update file for corruption,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_exchange_key,Switch knob 1 and 2,Swap knobs 1 and 2,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_export_extend_set,Export FactorySet,Export factory settings,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_export_finish,Export completed,Export complete,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_export_prompt,"Export the configuration to USB disk, do not power off or pull out the USB disk!",Export the configuration to the USB drive. Do not turn off the unit or remove the drive.,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_export_tp_success,Export TPConfig successfully!,TP configuration exported successfully,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_factory_reset,Factory Reset,Factory reset,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_fiber_coax,Fiber coax,Fibre coaxial,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_file_copy_finish,File copy finished,File copy complete,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_float_ball,Quick ball,Floating shortcut,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_float_video,Video floating play,Floating video,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_front_mirror,Front camera mirror,Mirror front camera image,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_general_colorful_lights_title,Colorful lights settings,Button illumination settings,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_general_default_app_title,Default software,Default apps,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_general_set,General,General settings,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_Horizontal,Double finger lateral sliding,Two-finger horizontal swipe,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_allapps,Return to the allapps,Open all apps,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_brightness,Control brightness,Adjust brightness,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_call_accept,Answer the call,Answer call,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_down_edge_fling,Slide the bottom edge of the screen,Swipe from the bottom edge,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_fling_down,Double finger slide down,Two-finger swipe down,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_fling_left,Double finger slide left,Two-finger swipe left,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_fling_right,Double finger slide right,Two-finger swipe right,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_fling_up,Double finger slide up,Two-finger swipe up,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_left_edge_fling,Slide the left edge of the screen,Swipe from the left edge,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_mutectl,Mute control,Mute,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_next_song,Next song,Next track,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_none,Not selected,None,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_onoff,Gesture touch switch,Gesture controls,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_open,Start-up,Enable,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_pre_song,Previous song,Previous track,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_right_edge_fling,Slide the right edge of the screen,Swipe from the right edge,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_scale,Double finger zoom in and out,Two-finger pinch,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_title,Action selection,Select action,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_vertical,Double finger longitudinal sliding,Two-finger vertical swipe,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_vol,Control volume,Adjust volume,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_vol_add,Volume+,Volume up,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_gesture_vol_reduce,Volume-,Volume down,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_hicar_support,Zlink Hicar Enable,Enable Zlink HiCar,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_hint_logo,Boot logo set,Boot logo settings,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_hint_panel,Panel key set,Panel button settings,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_hint_save,Save Finish,Save complete,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_import_boot_animation,Import Boot Animation,Import boot animation,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_import_extend_set,Import FactorySet,Import factory settings,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_import_prompt,"Import the configuration to the device, do not power off or pull out the USB disk!",Import the configuration to the unit. Do not turn off the unit or remove the USB drive.,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_install_unknown_applications,Allow installation of applications from unknown sources,Allow apps from unknown sources,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_key_study,Steering wheel study,Steering-wheel button learning,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_knob_set1,Knob Set1,Knob 1 settings,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_knob_set2,Knob Set2,Knob 2 settings,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_language_select,Language selection,Language,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_launcher_select,Launcher selection,Launcher,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_launcher_select_success,Launcher selection success!,Launcher selected successfully,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_list_left_double_key,Double key(left),Double left button,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_list_leftkey1,Left key(768X1280),Left button (768 × 1280),Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_list_right_double_key,Double key(right),Double right button,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_logo_auto_upgrade_prompt,boot logo,Boot logo,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_logo_hint,"Updating, do not power off!",Updating. Do not turn off the unit.,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_logo_more_big_tip,Boot Logo within 8M!,Boot logo must be smaller than 8 MB,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_logo_ok,update logo,Update logo,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_logo_set,Logo set,Logo settings,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_logo_update_finished,The boot logo update is complete!,Boot logo update complete,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_logo_upgrading,Update boot logo!,Updating boot logo…,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_map_cancel,cancel,Cancel,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_map_confirm,confirm,Confirm,Head-unit and vehicle settings UI,built; device verification pending
com.qf.carsettings,str_map_exit,exit,Exit,Head-unit and vehicle settings UI,built; device verification pending
